results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
1000 Wild Iris Ln,Moscow,Class I,Lot # 021091  Lot # 022492  Product was made on 02/10/16 and 02/24/16.,United States,"sold on  AK, AL, AZ, CA, FL, GA, ID, IN, MA, MN, NJ, NY, OR, UT, and WA and in Netherland. Products were sold from www.maryjanesfarm.org.",73558,Visit,"Thai Fusion Outpost, net weight 5.1 oz.  UPC 0 99853 34255 9.    Thai Fusion Bulk bag, packaged in a ziploc plastic bag, net weight 3 lbs. UPC 0 99853 35255 8.    Thai Fusion On the Go, packaged in microwave able paper cup with plastic lid, net wt. 3.4 oz. UPC 0 99853 38255 5.",83843,15/5.1 oz. pouches of Outpost; 6/3.4 oz. cups of On the Go; and 12/3 lbs bags.,Food,"Organic Thai Fusion Outpost 5.1 oz. packages, Organic Thai Fusion 3 lbs. bulk bags, and  Organic On the Go Thai Fusion 3.4 oz cups are recalled due to undeclared milk.",F-0818-2016,Paradise Farm Organics Inc,ID,Terminated,Voluntary: Firm initiated,2016-03-17,2016-04-06,2016-03-28,2016-08-18
10001 Industrial Blvd,Lenexa,Class II,Oct 08 18 LXC,United States,"Distributed to retail stores in AR, IA, IL, KS, MO, and NE.",79216,Letter,"Grape Fanta, Grape Flavored Soda, 12 oz (355 mL) cans, packed in 12 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA",66215-1209,"766,271 Cases Total",Food,Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,F-0894-2018,Heartland Coca-Cola Bottling Company,KS,Terminated,Voluntary: Firm initiated,2018-02-12,2018-03-14,2018-03-07,2018-07-05
1002B Sunburst Dr,Goldsboro,Class I,See product description for lot numbers,United States,"NC, NJ & SC",69555,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Sausage, Egg & Cheese Croissant, Net Wt. 5.00 oz., UPC 7-01248-00523-8, MFG Code 623",27534-8667,,Food,Listeria monocytogenes,F-0852-2015,"SunBurst Foods, Inc.",NC,Terminated,Voluntary: Firm initiated,2014-10-10,2015-02-04,2015-01-26,2015-06-18
1005 North Cockrell Hill Rd,Dallas,Class I,1899,United States,"Dallas, TX",72041,Telephone,"FRESH ORIGINS Microgreens Celery NET WT 4 OZ San Marcos, CA 92069 packed in clear plastic clam shell.",75211,1 box,Food,Tested positive for Salmonella,F-3244-2015,"Hardies Fruit & Vegetable Co., LP",TX,Terminated,Voluntary: Firm initiated,2015-08-25,2015-09-30,2015-09-22,2016-04-11
101 Kappa Dr,Pittsburgh,Class II,22765200000 MULTIGRAIN SOURDOUGH FRESHLY BAKED 21762500000 HALF MULTIGRAIN SOURDOUGH ARTISAN BREAD,United States,"The recalled product was distributed to the following states: PA, OH, MD, IN, WV",96710,E-Mail,"Multigrain Sourdough Freshly Backed, and Half Multigrain Sourdough Artisan Bread, 15 oz; 7 oz, Bag, 1 unit",15238-2809,240 cases,Food,Firm is recalling product due to the potential of foreign material (glass),F-0745-2025,"Giant Eagle, Inc.",PA,Terminated,Voluntary: Firm initiated,2025-04-12,2025-05-07,2025-04-29,2025-05-02
101 Kappa Dr,Pittsburgh,Class II,PLU: 45511; Sell By: (up to and including) 03/30/2015,United States,MD OH PA WV,70879,E-Mail,"Giant Eagle P5 Buffalo Boneless Wings; PLU: 45511; Sell By: (up to and including) 03/30/2015; Contains: Wheat, Soy; Keep Refrigerated;  Distributed by: Giant Eagle, Inc., Pittsburgh, PA 15238    Packed in rigid plastic Clear/Black container  Prepared and packaged at retail store.  FINISHED PRODUCT IS NOT A USDA INSPECTED PRODUCT",15238-2809,827 units,Food,Giant Eagle Chicken products made with buffalo sauce (in natural flavor) contains undeclared milk,F-2006-2015,"Giant Eagle, Inc.",PA,Terminated,Voluntary: Firm initiated,2015-03-25,2015-05-06,2015-04-28,2015-05-18
101 Kappa Dr,Pittsburgh,Class I,All date codes,United States,"IN, OH, MD, PA, WV",73975,E-Mail,"Walnut Delights 6 Pack  Net Weight: 9 oz.  PLU #69690  UPC: 2 69690 20399 7  Giant Eagle, LLC, Pittsburgh, PA",15238-2809,288 units,Food,Giant Eagle discovered that the scale label fails to declare the milk ingredient. The allergen statement does not declare the milk allergen.,F-1408-2016,"Giant Eagle, Inc.",PA,Terminated,Voluntary: Firm initiated,2016-04-28,2016-06-08,2016-05-31,2016-12-12
101 Kappa Dr,Pittsburgh,Class I,all dates up to 3/23/2015,United States,MD OH PA WV,70792,E-Mail,"Apricot Filled Cookie OTC  Sell By: (all dates up to) 3/23/2015  Net WT. 1 OZ  Contains:Egg, Wheat, Soy  ;   Cookies affected are only sold direct from bakery counter and packaged at time per customer request and packed either in clam shell plastic or wax paper.  ;   Net Weight on label may differ depending on number of cookies a customer requested. Net Weights listed above are for 1 cookie.",15238-2809,Apricot Filled 2731 cookies,Food,"On 3/20/2015, it was discovered that the labels for Apricot Filled Cookie, served over the counter at retail Eagle and affiliate stores, did not declare the milk allergen. Milk was not included on the labels which state ""contains: egg, wheat, soy.""",F-2187-2015,"Giant Eagle, Inc.",PA,Terminated,Voluntary: Firm initiated,2015-03-20,2015-06-10,2015-06-04,2015-08-17
101 Kappa Dr,Pittsburgh,Class II,Coffee Beans UPC: 30034 09851;  Almonds UPC: 30034 09852;   Powerberry UPC: 30034 09857,United States,IN  MD  OH  PA  WV,78423,E-Mail,"Market District Coffee Beans covered in Dark Chocolate; Net Wt. 8 OZ.; Contains Soy; May Contain: Milk  Manufactured in a plant that processes wheat, peanuts, tree nuts and eggs.; Distributed by Giant Eagle, Inc., Pittsburgh, PA 15238-2809",15238-2809,6234 units,Food,"On 10/30/2017, Giant Eagle received notice from their contract manufacturer to recall Market District Coffee Beans Covered in Dark Chocolate due to undeclared milk in the dark chocolate. Giant Eagle product labels do carry the advisory statement ""May Contain Milk"".",F-0353-2018,"Giant Eagle, Inc.",PA,Terminated,Voluntary: Firm initiated,2017-10-30,2017-11-15,2017-11-17,2020-05-15
101 Kentile Rd,South Plainfield,Class III,"AGG-072802,AGG-090104, AGG-1022040, AGG-090105, AGG-1022043, AGG-1122046",United States,Distributed to distributors in WI and WA and distributed nationwide to consumers.,91570,Press Release,"Cold Stone Creamery Hot Cocoa Peanut Butter Cup Perfection packaged in single serve pods.   Pods are packaged in the following Two Rivers Variety Pack boxes: -Two Rivers Coffee Hot Cocoa Pods, Single Serve Variety Sampler Pack , 40 Count UPC: 810683022554 -Two Rivers Coffee Hot Cocoa Pods Variety Sampler, 52 Count UPC:850027429601 -Two Rivers Coffee Hot Cocoa Pods Variety Sampler, 52 Count	UPC: 810683027030 -Two Rivers Coffee Coffee, Tea, Cocoa, Cider, Cappuccino Bit Of Everything Variety Sampler Pack, 40 count UPC: 810683022608 -Two Rivers Coffee Coffee, Tea, Cocoa, Cider, Cappuccino Bit Of Everything Variety Sampler Pack, 100 count UPC: 810683027009 -Two Rivers Coffee Coffee & Hot Cocoa Chocoholics, 40 Count UPC: 810683025197 -Two Rivers Coffee Hot Chocolate Variety, Gift Box, 12 Count UPC: 810683026989 -Two Rivers Coffee Best of The Best Pods Variety Sampler Assorted Cocoa, 40 Count UPC: 810683029744",07080-4805,"Approximately 90,000 cups total",Food,Coffee pods may contain undeclared peanut residue,F-0580-2023,TWO RIVERS COFFEE LLC,NJ,Terminated,Voluntary: Firm initiated,2023-01-31,2023-03-22,2023-03-10,2023-08-16
10108 97th St,Jamaica,Class II,Expiration date: 12/2026,United States,New York,95061,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Spice Class brand Ground Cinnamon packed in 7oz and 11oz PET jars,11416-2549,"1,224 units",Food,"Product contains elevated levels of lead (2,040ppb).",F-1745-2024,American Spice LLC,NY,Terminated,Voluntary: Firm initiated,2024-05-28,2024-09-04,2024-08-23,2025-11-04
1011 S Acme Rd,San Antonio,Class II,Lot # 218BZ4A,United States,"TX, LA, TN, AZ, IA",70429,Telephone,"Maria's Picante Sauce NEt WT. 12 OZ. (342g) Distributed by Maria's Mexican Restaurante Bogalusa, LA 70427",78237-3218,768 units,Food,Product may contain undeclared peanuts.,F-1835-2015,"Creative Foodworks, Inc",TX,Terminated,Voluntary: Firm initiated,2015-02-02,2015-04-08,2015-03-31,2015-08-21
1011 S Acme Rd,San Antonio,Class II,Lot # 260AMR4A,United States,"TX, LA, TN, AZ, IA",70429,Telephone,"STAGECOACH SALSA CLASSIC SAN ANTONIO SALSAS MISS MICHELE'S PEACH SALSA Net Wt. 16 oz. (454g) Manufactured Exclusively for: Stagecoach Salsa Company 25011 Saddle Trail San Antonio, Texas 78255",78237-3218,1344 units,Food,Product may contain undeclared peanuts.,F1843-2014,"Creative Foodworks, Inc",TX,Terminated,Voluntary: Firm initiated,2015-02-02,2015-04-08,2015-03-31,2015-08-21
10110 San Jose Blvd,Jacksonville,Class II,Batch #0119230119,United States,Domestic consignee only.,92134,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Coffee Bonbon,32257-5838,192 cello packs/2 units each and 40 units/3 cookies per unit (Oreo) -total,Food,"Undeclared Allergens: Soy, Milk and Tree Nuts",F-0846-2023,Windy Hill Chocolate LLC,FL,Terminated,Voluntary: Firm initiated,2023-03-22,2023-05-17,2023-05-10,2023-07-31
1014 Vine St,Cincinnati,Class I,"Sell by: Dec 2016, Jan 2017",United States,"Product was shipped to the following states: AK, AL, AR, AZ, CA, CO, GA, ID, IL, IN, KS, KY, LA, MI, MO, MS, MT, NC, NE, NM, NV, OH, OR, SC, TN, TX, UT, VA, WA, WV & WY.",74110,E-Mail,"simple truth organic Mixed Vegetables NET WT 10 OZ (283g) KEEP FROZEN INGREDIENTS: ORGANIC CARROTS, ORGANIC CORN ORGANIC PEAS, GREEN BEANS.",45202-1141,"2,447 cs/12/10 oz bags",Food,The firm was notified by their supplier that the product maybe contaminated with Listeria monocytogenes.,F-1592-2016,The Kroger Co,OH,Terminated,Voluntary: Firm initiated,2016-05-06,2016-07-06,2016-06-28,2017-06-01
1014 Vine St,Cincinnati,Class I,BEST BY: 06-19-20; UPC: 0001111087808,United States,"Product was sent to nine distributors in the states of Indiana, Oregon, Washington, Arizona, Colorado, California and Utah.  (The distribution center in Indiana further distributed the product to eight Kroger distribution centers.)  Product was then distributed to 2301 retail locations in the states of Alabama, Alaska, Arizona, Arkansas, California, Colorado, Georgia, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Michigan, Mississippi, Missouri, Montana, Nebraska, Nevada, New Mexico, Ohio, Oregon, South Carolina, Tennessee, Texas, Utah, Virginia, Washington, West Virginia, and Wyoming",83083,Other,"PRIVATE SELECTION FROZEN TRIPLE BERRY MEDLEY, 16 oz",45202-1141,"192 cases (1,920-pounds)",Food,Possible Hepatitis A contamination.,F-2075-2019,The Kroger Co,OH,Terminated,Voluntary: Firm initiated,2019-06-07,2019-08-28,2019-08-20,2019-09-20
1014 Vine St,Cincinnati,Class II,"Plant Code:: 51-4140 SELL BY: 05/18/18, SELL BY APR 26 18 THRU OCT 10 18",United States,"Product was shipped to the following states: AL, AR, GA, IL, IN, KY, MI, MO, MS, NC, OH, SC, TN, VA & WV.",78593,E-Mail,"Comforts FOR BABY Purified Water with Flouride Added. 1 GAL (3.78 L)  DISTRIBUTED BY THE KROGER CO., CINCINNATI, OHIO 45202",45202-1141,"107,874 cs/ (4 x 1 gallon jugs) and 1 gallon jugs",Food,the firm received a complaint of mold found in the product.,F-0493-2018,The Kroger Co,OH,Terminated,Voluntary: Firm initiated,2017-07-03,2017-12-13,2017-12-14,2018-03-14
1020 Illinois St,San Francisco,Class II,no codes,United States,"CA, AZ, CO. CT, DC, FL, GA, IL, MA, MD, MD, MI, NJ, NM, NY, OR, PA, UT and WA",71144,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Poco Dolce Bittersweet Chocolate:  Ginger Tile, sea salt topped;  0.6 oz (17 grams)  San Francisco CA.  Ingredients:  Bittersweet Chocolate (Chocolate Liquor, Sugar, Cocoa Butter, Butter, Soy Lecithin, Pure Vanilla) Ginger, Sugar, Grey Sea Salt. May contain traces of peanuts, tree nuts or milk proteins.",94107-3120,"34, 641 individual tiles, all varieties",Food,California Department of Public Health conducted and inspection of the firm and found that milk was missing from the label as an ingredient of butter.,F-2254-2015,"Poco Dolce Confections, Inc.",CA,Terminated,Voluntary: Firm initiated,2015-05-01,2015-05-20,2015-05-12,2015-07-23
10203 State Highway 76,Forsyth,Class II,Lot #: 53373006,United States,"Domestic distribution of the product is nationwide with direct accounts in 27 states in all geographical regions. Foreign distribution consists of direct accounts in the following countries: Canada, China, Malaysia, Norway, Slovakia, South Korea, Sweden, Taiwan, and the United Kingdom.",66658,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Northern Nutrition, Pro-3-Zyme, packaged in 180-capsule bottles (SKU 53373). Firm name on the label is Northern Nutrition, LLC, Shipshewana, IN;",65653-5445,598 bottles,Food,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,F-0760-2014,National Enzyme Co,MO,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-25,2013-12-13,2015-03-03
10203 State Highway 76,Forsyth,Class II,Lot #: 83377001,United States,"Domestic distribution of the product is nationwide with direct accounts in 27 states in all geographical regions. Foreign distribution consists of direct accounts in the following countries: Canada, China, Malaysia, Norway, Slovakia, South Korea, Sweden, Taiwan, and the United Kingdom.",66658,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Bulk B807 True Botanica Digestive, packaged in varying quantities within poly bags within corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 83377);",65653-5445,25.9 kg of powder,Food,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,F-0789-2014,National Enzyme Co,MO,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-25,2013-12-13,2015-03-03
10203 State Highway 76,Forsyth,Class II,Lot #: 83438000,United States,"Domestic distribution of the product is nationwide with direct accounts in 27 states in all geographical regions. Foreign distribution consists of direct accounts in the following countries: Canada, China, Malaysia, Norway, Slovakia, South Korea, Sweden, Taiwan, and the United Kingdom.",66658,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Bulk C812 ZoiVi Digestive Formula powder, packaged in varying quantities within poly bags within corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 83438)",65653-5445,77.85 kg of powder,Food,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,F-0809-2014,National Enzyme Co,MO,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-25,2013-12-13,2015-03-03
10203 State Highway 76,Forsyth,Class II,"Lot #'s: 83274014, 83274015, 83274016, 83274017, 83274018, 83274019, 83274020, 83274021, 83274022, 83274023, 83274025, 83274026, 83274027, 83274028, 83274035, 82426059, and 82426060",United States,"Domestic distribution of the product is nationwide with direct accounts in 27 states in all geographical regions. Foreign distribution consists of direct accounts in the following countries: Canada, China, Malaysia, Norway, Slovakia, South Korea, Sweden, Taiwan, and the United Kingdom.",66658,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Dietary Supplements packaged in the following configurations:   (1) Bulk 6916 Shanghai DigestiveBlend powder, packaged in varying quantities in poly bags within fiber drums (SKU 83274);  (2) Bulk 6916 WEDAR DIGESTIVEBLEND powder, packaged in varying quantities in poly bags within fiber drums (SKU 82426);",65653-5445,6657.39 kg of powder,Food,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,F-0753-2014,National Enzyme Co,MO,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-25,2013-12-13,2015-03-03
10203 State Highway 76,Forsyth,Class II,"Lot #'s: 92103002, 92103004, 92103005, 92103006, 92103007, and 92103008",United States,"Domestic distribution of the product is nationwide with direct accounts in 27 states in all geographical regions. Foreign distribution consists of direct accounts in the following countries: Canada, China, Malaysia, Norway, Slovakia, South Korea, Sweden, Taiwan, and the United Kingdom.",66658,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Bulk 9730 BIOSANLABS GLUTENEZYME capsules, packaged in poly bags in corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 92103).",65653-5445,"835,013 bulk capsules",Food,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,F-0767-2014,National Enzyme Co,MO,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-25,2013-12-13,2015-03-03
10203 State Highway 76,Forsyth,Class II,"Lot #'s: 92115011, 92115012, 92115013, 92115014, 92115015, and 92115016",United States,"Domestic distribution of the product is nationwide with direct accounts in 27 states in all geographical regions. Foreign distribution consists of direct accounts in the following countries: Canada, China, Malaysia, Norway, Slovakia, South Korea, Sweden, Taiwan, and the United Kingdom.",66658,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Bulk 9896 BIOMEDICALRESEARCH DIGE capsules, packaged in poly bags in corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 92115).",65653-5445,"6,139,669 bulk capsules",Food,Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,F-0771-2014,National Enzyme Co,MO,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-25,2013-12-13,2015-03-03
1022 W Morena Blvd,San Diego,Class I,Lot code: 13717,United States,US only - to direct accounts and online customers and sample,77705,E-Mail,Bhufit Bar Chocolate Tart Cherry Pistachio;  Vegan Organic Pea Protein  Net Wt. 1.6 oz. (45G),92110-3919,62951 total bars,Food,Potential Listeria monocytogenes contamination.,F-3376-2017,Laura's Boston Brownies,CA,Terminated,Voluntary: Firm initiated,2017-06-14,2017-08-23,2017-08-15,2017-09-08
10220 Nw Ambassador Dr,Kansas City,Class II,Sell By/Use By 8/10/2015 to 4/30/2016,United States,"US: AL, AR, AZ, CA, CT, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, PR, SC, TN, TX, UT, VA, WA, WI, WV, WY.    OUS: Libya, Colombia.",71482,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Pasteurized Prepared Cheese Product:    BORDEN 12/13.12OZ DTT AMERICAN CHEDDAR  PROD, 45110155767.3  .",64153-1367,"953,720 cases total for all product",Food,Dairy Farmers of America Inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,F-2892-2015,Dairy Farmers OF America Inc,MO,Terminated,Voluntary: Firm initiated,2015-06-12,2015-08-05,2015-07-29,2015-12-02
